id,gtg,case_study,harm_area,type,platform,value,role,description,first_seen,last_seen,handling,reference_url,report_date
indicator--705377d9-0260-505d-8155-7421c05654b9,GTG-20006,Russian espionage,cyber_operations,domain,,stuseamandesilt[.]org,infrastructure,Campaign base domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--f771082c-777c-54b9-ab1c-364271862e5d,GTG-20006,Russian espionage,cyber_operations,domain,,ukrinform-share[.]net,phishing,Lookalike of Ukrinform,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--f46943bd-d777-5cb7-9e94-4a9b4d162e38,GTG-20006,Russian espionage,cyber_operations,domain,,wa-connect[.]eu,c2,ClickFix cookie exfil C2,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--65fbeb0e-b4de-5e8a-9a5b-f86152f7e1ff,GTG-20006,Russian espionage,cyber_operations,domain,,wa-meeting[.]com,phishing,WhatsApp Web pairing code phishing domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--988380a4-0eaf-51d7-b0ae-42d37b9d03aa,GTG-20006,Russian espionage,cyber_operations,email,,anna.manager@russianearabroad[.]net,phishing,Phishing persona address,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--94c66d25-93ab-553d-b86a-898bb6c40a3e,GTG-20006,Russian espionage,cyber_operations,email,,events@embassy-protocol[.]int,phishing,Phishing persona address,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--d82d4da0-5a43-577e-be63-a3321bef47b6,GTG-20006,Russian espionage,cyber_operations,filename,,WUEngine.exe,malware,Malware file name. Windows malware,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--7a486c27-c66c-5536-acd2-c8fd3985a0f0,GTG-20006,Russian espionage,cyber_operations,filename,,client_20260507093021_4286d211_x64.exe,malware,Malware build artifact,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--66d52f33-0e22-50f1-b5a1-f50371c77326,GTG-20006,Russian espionage,cyber_operations,filename,,fix_network.apk,malware,Android malware payload,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--23be3f31-3ff9-5b0b-b787-15af6b16e434,GTG-20006,Russian espionage,cyber_operations,filename,,msedgeupdate_v3.exe,malware,Malware implant build,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--26365551-dd02-5df4-bfc8-92ceb7147858,GTG-20006,Russian espionage,cyber_operations,hostname,,api.stuseamandesilt[.]org,c2,Campaign C2,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--d43bcf0c-8546-534e-ad7b-32926f9b0f4d,GTG-20006,Russian espionage,cyber_operations,hostname,,cdn.stuseamandesilt[.]org,malware_delivery,Campaign malware delivery,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--744a203d-e581-58ec-9481-0e2e859ef4b6,GTG-20006,Russian espionage,cyber_operations,hostname,,mslivetest.duckdns[.]org,c2,Dynamic-DNS C2,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--b2a33d3f-b624-589d-a977-e439ce4d6656,GTG-20006,Russian espionage,cyber_operations,hostname,,pdfviewer2024.b-cdn[.]net,malware_delivery,Malware payload domain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--7e4a757b-a87d-5cb7-844b-88edc52f85fd,GTG-20006,Russian espionage,cyber_operations,hostname,,static.cdncounter[.]net,malware_delivery,Exploit/payload delivery hostname,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--132b3ad6-3074-51f1-a2fd-c3171e085c06,GTG-20006,Russian espionage,cyber_operations,hostname,,teams.ms365-live[.]com,phishing,Microsoft 365 Phishing,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--0cf17acc-f1e5-5a3d-85ea-dc3e1f54ba7b,GTG-20006,Russian espionage,cyber_operations,hostname,,update.stuseamandesilt[.]org,malware_delivery,Campaign subdomain,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--7938faa0-e73e-5ad8-b259-a0fe00b83771,GTG-20006,Russian espionage,cyber_operations,ipv4,,104.145.210[.]184,phishing,Embassy Kit device-code phishing VPS,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--f8e3403d-a6b9-5ac1-a331-e15e95bc4827,GTG-20006,Russian espionage,cyber_operations,ipv4,,104.194.149[.]228,phishing,Phishing VPS,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--9dbb0b2e-010e-5aac-9067-39080e3aeb1a,GTG-20006,Russian espionage,cyber_operations,ipv4,,104.194.151[.]133,c2,Primary C2 VPS,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--6daade92-1e00-536e-bf74-dac53ac72c5a,GTG-20006,Russian espionage,cyber_operations,ipv4,,104.194.159[.]55,c2,C2 holding exfiltrated browser-data zips,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--561f4d0e-51bc-5177-92d5-1a9ecba1aaf7,GTG-20006,Russian espionage,cyber_operations,ipv4,,144.172.114[.]192,c2,C2 proxy IP / operator VPS,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--f210b95b-1c5c-552c-8230-f96129c5ab02,GTG-20006,Russian espionage,cyber_operations,ipv4,,148.135.195[.]111,c2,C2 Endpoint,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--69dafcf2-b90c-5041-b04f-6440ecca368d,GTG-20006,Russian espionage,cyber_operations,ipv4,,149.54.42[.]106,infrastructure,Operator/operational infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--45ea9536-47e1-54e8-9435-004fb12133d2,GTG-20006,Russian espionage,cyber_operations,ipv4,,185.198.234[.]101,c2,C2 server,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--e56e9721-d74e-5b2d-811e-5ba4b4b9e9e0,GTG-20006,Russian espionage,cyber_operations,ipv4,,185.198.234[.]26,infrastructure,Operator/operational infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--77243ad0-cda0-54f6-a4e0-35133959f008,GTG-20006,Russian espionage,cyber_operations,ipv4,,2.26.53[.]194,infrastructure,Operator/operational infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--47e2236f-036d-5fe4-b715-41056d82c3f8,GTG-20006,Russian espionage,cyber_operations,ipv4,,213.145.86[.]112,infrastructure,Operator/operational infrastructure,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--7fd24e23-6703-55bb-a063-22961cf64446,GTG-20006,Russian espionage,cyber_operations,ipv4,,31.57.243[.]154,phishing,Phishing host,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
indicator--126b023b-80fe-5a16-93a7-fd7b1e3d7299,GTG-20006,Russian espionage,cyber_operations,ipv4,,38.146.28[.]132,infrastructure,Actor rogue DNS resolver,,,detect-or-block,https://www.anthropic.com/threat-intelligence-report-september-2026#gtg-20006-russian-espionage,2026-09-10
